9.628490661310820098e-01,9.628490661310820098e-01,9.628490661310820098e-01
9.628492287732994814e-01,9.628492287732994814e-01,9.628492287732994814e-01
9.628492325556765596e-01,9.628492325556765596e-01,9.628492325556765596e-01
9.628492325556765596e-01,9.628492325556765596e-01,9.628492325556765596e-01
9.628492325556765596e-01,9.628492325556765596e-01,9.628492325556765596e-01
9.628492325556765596e-01,9.628492325556765596e-01,9.628492325556765596e-01
9.628492325556765596e-01,9.628492325556765596e-01,9.628492325556765596e-01
9.628492325556765596e-01,9.628492325556765596e-01,9.628492325556765596e-01
9.628342694716774952e-01,9.628342694716774952e-01,9.628342694716774952e-01
9.630536265432098064e-01,9.630536265432098064e-01,9.630536265432098064e-01
9.634518768155411195e-01,9.634518768155411195e-01,9.634518768155411195e-01
9.642721231239409496e-01,9.642721231239409496e-01,9.642721231239409496e-01
9.655927344317356553e-01,9.655927344317356553e-01,9.655927344317356553e-01
9.674345724400871260e-01,9.674345724400871260e-01,9.674345724400871260e-01
9.700441289941903467e-01,9.700441289941903467e-01,9.700441289941903467e-01
9.733054364106753509e-01,9.733054364106753509e-01,9.733054364106753509e-01
9.772441997246429368e-01,9.772441997246429368e-01,9.772441997246429368e-01
9.813113879811183882e-01,9.813113879811183882e-01,9.813113879811183882e-01
9.850268000332849105e-01,9.850268000332849105e-01,9.850268000332849105e-01
9.881507825738319317e-01,9.881507825738319317e-01,9.881507825738319317e-01
9.905658303830791045e-01,9.905658303830791045e-01,9.905658303830791045e-01
9.926156234870491257e-01,9.926156234870491257e-01,9.926156234870491257e-01
9.942285709422657991e-01,9.942285709422657991e-01,9.942285709422657991e-01
9.955191180252965788e-01,9.955191180252965788e-01,9.955191180252965788e-01
9.964913421387073811e-01,9.964913421387073811e-01,9.964913421387073811e-01
9.973178350429677819e-01,9.973178350429677819e-01,9.973178350429677819e-01
9.978650504569110957e-01,9.978650504569110957e-01,9.978650504569110957e-01
9.832658349219316474e-01,9.832658349219316474e-01,9.823693207607117062e-01
9.661467505597918226e-01,9.658983013344226709e-01,9.525353652263374160e-01
9.502814599219318037e-01,9.475913652112079033e-01,9.335110426500846659e-01
9.333060642852820665e-01,9.308755238592351100e-01,9.126999686062696737e-01
9.163516986655773078e-01,9.132988891158314582e-01,8.943735532407407485e-01
8.993553789185427805e-01,8.960160694293149986e-01,8.757851779986686180e-01
8.822346983932460862e-01,8.792345395334059122e-01,8.566707232661582294e-01
8.661654052438877427e-01,8.610871176016703377e-01,8.342181391460905537e-01
8.493592255961025517e-01,8.424565575072621160e-01,8.134208443022270529e-01
8.323050846496005128e-01,8.241909457455821597e-01,7.944229113713385804e-01
8.138801932038247644e-01,8.057525682340838102e-01,7.724466949588477682e-01
7.982230070654804388e-01,7.878757091957152570e-01,7.522769740226337154e-01
7.816335103485838598e-01,7.703822772936335106e-01,7.339138298838053798e-01
7.665778791454852525e-01,7.519819051077221150e-01,7.127916061486323507e-01
